,Address,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue,21th Most Common Venue,22th Most Common Venue,23th Most Common Venue,24th Most Common Venue,25th Most Common Venue
179,"Murrieta, California",American Restaurant,Mexican Restaurant,Pizza Place,Sushi Restaurant,Italian Restaurant,BBQ Joint,Breakfast Spot,Sandwich Place,Bakery,Fast Food Restaurant,Burger Joint,Taco Place,Gastropub,Hot Dog Joint,Deli / Bodega,Asian Restaurant,Thai Restaurant,Seafood Restaurant,Diner,Chinese Restaurant,Cuban Restaurant,Bagel Shop,Steakhouse,Japanese Restaurant,Bistro
180,"Naperville, Illinois",Hot Dog Joint,Mexican Restaurant,American Restaurant,Pizza Place,Deli / Bodega,Breakfast Spot,Japanese Restaurant,Sandwich Place,Seafood Restaurant,New American Restaurant,BBQ Joint,Burger Joint,Café,Donut Shop,Taco Place,Steakhouse,Asian Restaurant,Bakery,Diner,Mediterranean Restaurant,Vegetarian / Vegan Restaurant,Middle Eastern Restaurant,Greek Restaurant,Cajun / Creole Restaurant,German Restaurant
181,"Nashville, Tennessee",Pizza Place,American Restaurant,Italian Restaurant,BBQ Joint,Burger Joint,Sandwich Place,Southern / Soul Food Restaurant,Steakhouse,Café,Fried Chicken Joint,Bakery,Taco Place,Mexican Restaurant,Caribbean Restaurant,New American Restaurant,Sushi Restaurant,Breakfast Spot,Diner,Greek Restaurant,Gastropub,Deli / Bodega,Tapas Restaurant,French Restaurant,Thai Restaurant,Food Truck
182,"New Haven, Connecticut",Pizza Place,Italian Restaurant,American Restaurant,Sandwich Place,Deli / Bodega,Seafood Restaurant,Diner,Mexican Restaurant,Fast Food Restaurant,Bakery,BBQ Joint,Breakfast Spot,Burger Joint,Café,Greek Restaurant,Indian Restaurant,Brazilian Restaurant,Turkish Restaurant,Spanish Restaurant,Noodle House,Donut Shop,Latin American Restaurant,Mac & Cheese Joint,Food Truck,Falafel Restaurant
183,"New Orleans, Louisiana",Cajun / Creole Restaurant,Southern / Soul Food Restaurant,Sandwich Place,American Restaurant,French Restaurant,Seafood Restaurant,Café,Italian Restaurant,BBQ Joint,Breakfast Spot,Bakery,Pizza Place,Deli / Bodega,Caribbean Restaurant,New American Restaurant,Japanese Restaurant,Mediterranean Restaurant,Mexican Restaurant,Vietnamese Restaurant,Hot Dog Joint,Wings Joint,German Restaurant,Gastropub,Fried Chicken Joint,Falafel Restaurant
184,"New York City, New York",Pizza Place,Bakery,Italian Restaurant,Café,Donut Shop,Caribbean Restaurant,Sandwich Place,Japanese Restaurant,Seafood Restaurant,New American Restaurant,Breakfast Spot,Moroccan Restaurant,Greek Restaurant,American Restaurant,Latin American Restaurant,Thai Restaurant,Bagel Shop,Asian Restaurant,Food Court,Ethiopian Restaurant,Israeli Restaurant,Fried Chicken Joint,Salad Place,Deli / Bodega,Noodle House
185,"Newark, New Jersey",Bakery,Pizza Place,Italian Restaurant,Café,Sandwich Place,Sushi Restaurant,Thai Restaurant,Chinese Restaurant,New American Restaurant,Mediterranean Restaurant,Seafood Restaurant,American Restaurant,Taco Place,Japanese Restaurant,Deli / Bodega,Falafel Restaurant,Mexican Restaurant,Korean Restaurant,Diner,Food Court,Noodle House,Hot Dog Joint,Colombian Restaurant,Ramen Restaurant,Salad Place
186,"Newport News, Virginia",American Restaurant,Pizza Place,Seafood Restaurant,Fast Food Restaurant,Sandwich Place,Italian Restaurant,Steakhouse,Donut Shop,BBQ Joint,Bakery,Diner,New American Restaurant,Thai Restaurant,Burger Joint,Breakfast Spot,Vietnamese Restaurant,Mexican Restaurant,Bistro,Comfort Food Restaurant,Bagel Shop,Latin American Restaurant,Korean Restaurant,Japanese Restaurant,Indian Restaurant,Deli / Bodega
187,"Norfolk, Virginia",American Restaurant,Sandwich Place,Seafood Restaurant,Pizza Place,Mexican Restaurant,Donut Shop,Breakfast Spot,Bakery,Chinese Restaurant,Burger Joint,Diner,Fast Food Restaurant,Café,Steakhouse,Mediterranean Restaurant,Italian Restaurant,Vietnamese Restaurant,Wings Joint,Deli / Bodega,Bagel Shop,Burrito Place,Sushi Restaurant,Middle Eastern Restaurant,Bistro,Asian Restaurant
188,"Norman, Oklahoma",American Restaurant,Burger Joint,Pizza Place,Mexican Restaurant,Fast Food Restaurant,Sandwich Place,BBQ Joint,Italian Restaurant,Sushi Restaurant,Bakery,Fried Chicken Joint,Vietnamese Restaurant,Diner,Deli / Bodega,New American Restaurant,Taco Place,Thai Restaurant,Asian Restaurant,Fondue Restaurant,Greek Restaurant,Vegetarian / Vegan Restaurant,German Restaurant,Mediterranean Restaurant,Indian Restaurant,Gastropub
189,"North Charleston, South Carolina",Pizza Place,American Restaurant,Sandwich Place,Mexican Restaurant,Seafood Restaurant,Burger Joint,Café,BBQ Joint,Southern / Soul Food Restaurant,Bakery,Fast Food Restaurant,Italian Restaurant,Vietnamese Restaurant,Mediterranean Restaurant,Fried Chicken Joint,Gastropub,Donut Shop,Vegetarian / Vegan Restaurant,Chinese Restaurant,Burrito Place,Diner,Comfort Food Restaurant,Fish & Chips Shop,Deli / Bodega,New American Restaurant
190,"North Las Vegas, Nevada",Japanese Restaurant,Steakhouse,Italian Restaurant,American Restaurant,Sushi Restaurant,Seafood Restaurant,Sandwich Place,Mexican Restaurant,Breakfast Spot,Pizza Place,Thai Restaurant,French Restaurant,Taco Place,Burger Joint,Fast Food Restaurant,Gastropub,BBQ Joint,Asian Restaurant,Southern / Soul Food Restaurant,Café,Chinese Restaurant,Korean Restaurant,Cajun / Creole Restaurant,Deli / Bodega,Diner
191,"Norwalk, California",Pizza Place,Sandwich Place,Mexican Restaurant,Bakery,Italian Restaurant,Burger Joint,Korean Restaurant,Mediterranean Restaurant,Taco Place,American Restaurant,Café,Asian Restaurant,Deli / Bodega,Fast Food Restaurant,Sushi Restaurant,Food Court,New American Restaurant,Japanese Restaurant,Donut Shop,Fried Chicken Joint,Seafood Restaurant,Steakhouse,Filipino Restaurant,Falafel Restaurant,Latin American Restaurant
192,"Oakland, California",Café,Pizza Place,Bakery,Mexican Restaurant,New American Restaurant,Food Truck,Vietnamese Restaurant,Asian Restaurant,Mediterranean Restaurant,Sandwich Place,Thai Restaurant,Breakfast Spot,Deli / Bodega,Italian Restaurant,Japanese Restaurant,Sushi Restaurant,Spanish Restaurant,American Restaurant,French Restaurant,Latin American Restaurant,Moroccan Restaurant,Seafood Restaurant,Dim Sum Restaurant,Russian Restaurant,Salad Place
193,"Oceanside, California",American Restaurant,Pizza Place,Bakery,Italian Restaurant,Burger Joint,Mexican Restaurant,Breakfast Spot,Seafood Restaurant,Sushi Restaurant,Fast Food Restaurant,Vegetarian / Vegan Restaurant,Deli / Bodega,Gastropub,BBQ Joint,Café,New American Restaurant,Taco Place,Sandwich Place,Vietnamese Restaurant,Thai Restaurant,Caribbean Restaurant,Diner,Chinese Restaurant,Snack Place,Steakhouse
194,"Odessa, Texas",Mexican Restaurant,Burger Joint,Sandwich Place,Deli / Bodega,Fast Food Restaurant,American Restaurant,Steakhouse,Chinese Restaurant,Bakery,BBQ Joint,Japanese Restaurant,Italian Restaurant,Food Truck,Donut Shop,Sushi Restaurant,Seafood Restaurant,Taco Place,Vegetarian / Vegan Restaurant,Tex-Mex Restaurant,Thai Restaurant,Asian Restaurant,Pizza Place,Filipino Restaurant,Fish & Chips Shop,Wings Joint
195,"Oklahoma City, Oklahoma",American Restaurant,Burger Joint,Pizza Place,Steakhouse,Fast Food Restaurant,Sandwich Place,BBQ Joint,Vietnamese Restaurant,New American Restaurant,Asian Restaurant,Mexican Restaurant,Seafood Restaurant,Sushi Restaurant,Café,Breakfast Spot,Japanese Restaurant,Comfort Food Restaurant,Ramen Restaurant,French Restaurant,Bakery,Gastropub,German Restaurant,Latin American Restaurant,Mediterranean Restaurant,Korean Restaurant
196,"Olathe, Kansas",American Restaurant,Pizza Place,Mexican Restaurant,Sandwich Place,BBQ Joint,Bakery,Breakfast Spot,Greek Restaurant,Italian Restaurant,Asian Restaurant,Thai Restaurant,Seafood Restaurant,Fast Food Restaurant,Sushi Restaurant,Indian Restaurant,Salvadoran Restaurant,Korean Restaurant,Middle Eastern Restaurant,Burger Joint,Steakhouse,Fried Chicken Joint,Japanese Restaurant,Gluten-free Restaurant,Eastern European Restaurant,Empanada Restaurant
197,"Omaha, Nebraska",American Restaurant,Pizza Place,Gastropub,Sandwich Place,Seafood Restaurant,Steakhouse,Burger Joint,Bakery,Italian Restaurant,Breakfast Spot,Sushi Restaurant,Mexican Restaurant,Chinese Restaurant,Diner,Café,Deli / Bodega,Thai Restaurant,Donut Shop,Food Court,Greek Restaurant,Vietnamese Restaurant,Salad Place,Fast Food Restaurant,Ethiopian Restaurant,Mediterranean Restaurant
198,"Ontario, California",Pizza Place,Mexican Restaurant,American Restaurant,Breakfast Spot,Burger Joint,Steakhouse,Fast Food Restaurant,Café,Sandwich Place,Bakery,BBQ Joint,Mediterranean Restaurant,Gastropub,Korean Restaurant,Donut Shop,Japanese Restaurant,Italian Restaurant,Deli / Bodega,Hot Dog Joint,Thai Restaurant,Vegetarian / Vegan Restaurant,Asian Restaurant,Sushi Restaurant,Greek Restaurant,Cajun / Creole Restaurant
199,"Orange, California",American Restaurant,Seafood Restaurant,Pizza Place,Bakery,Mexican Restaurant,Burger Joint,Italian Restaurant,Vegetarian / Vegan Restaurant,Korean Restaurant,Sushi Restaurant,Fast Food Restaurant,Steakhouse,Mediterranean Restaurant,French Restaurant,Sandwich Place,Breakfast Spot,Japanese Restaurant,Donut Shop,New American Restaurant,Café,Latin American Restaurant,Chinese Restaurant,Deli / Bodega,Salad Place,Food Court
200,"Orlando, Florida",American Restaurant,Pizza Place,Italian Restaurant,Burger Joint,Breakfast Spot,Sandwich Place,Café,Brazilian Restaurant,Bakery,Fast Food Restaurant,Seafood Restaurant,Sushi Restaurant,Latin American Restaurant,Vegetarian / Vegan Restaurant,Asian Restaurant,Cuban Restaurant,Mexican Restaurant,Steakhouse,Bistro,BBQ Joint,Tapas Restaurant,Food Truck,Cajun / Creole Restaurant,Peruvian Restaurant,Ramen Restaurant
201,"Overland Park, Kansas",American Restaurant,Pizza Place,Mexican Restaurant,BBQ Joint,Sandwich Place,Bakery,Breakfast Spot,Greek Restaurant,Italian Restaurant,Asian Restaurant,Thai Restaurant,Seafood Restaurant,Fast Food Restaurant,Indian Restaurant,Salvadoran Restaurant,Steakhouse,Middle Eastern Restaurant,Korean Restaurant,Burger Joint,Sushi Restaurant,Fried Chicken Joint,Japanese Restaurant,Gluten-free Restaurant,Eastern European Restaurant,Empanada Restaurant
202,"Oxnard, California",Mexican Restaurant,Pizza Place,Breakfast Spot,Seafood Restaurant,Burger Joint,American Restaurant,Café,Japanese Restaurant,BBQ Joint,Chinese Restaurant,Italian Restaurant,Sandwich Place,Steakhouse,Sushi Restaurant,Thai Restaurant,Taco Place,Vietnamese Restaurant,Indian Restaurant,Donut Shop,Cajun / Creole Restaurant,Deli / Bodega,Korean Restaurant,Mediterranean Restaurant,Gastropub,Bakery
203,"Palm Bay, Florida",Breakfast Spot,American Restaurant,Seafood Restaurant,Mexican Restaurant,Pizza Place,Sandwich Place,Japanese Restaurant,Burger Joint,Thai Restaurant,Italian Restaurant,Steakhouse,Café,Mediterranean Restaurant,Asian Restaurant,Hot Dog Joint,Fast Food Restaurant,Bakery,Diner,German Restaurant,Indian Restaurant,Fried Chicken Joint,Bagel Shop,Korean Restaurant,Cuban Restaurant,Greek Restaurant
204,"Palmdale, California",Mexican Restaurant,American Restaurant,Pizza Place,Burger Joint,Café,Sushi Restaurant,Bakery,Sandwich Place,Fast Food Restaurant,Steakhouse,Breakfast Spot,French Restaurant,Japanese Restaurant,Italian Restaurant,Wings Joint,Chinese Restaurant,Thai Restaurant,Seafood Restaurant,Cajun / Creole Restaurant,Caribbean Restaurant,Food Court,Fish & Chips Shop,Deli / Bodega,Diner,Donburi Restaurant
205,"Pasadena, California",Sandwich Place,Pizza Place,Italian Restaurant,Sushi Restaurant,Bakery,Taco Place,Café,Korean Restaurant,Asian Restaurant,Japanese Restaurant,Deli / Bodega,American Restaurant,Mexican Restaurant,Mediterranean Restaurant,New American Restaurant,Burger Joint,Fried Chicken Joint,Food Truck,French Restaurant,Breakfast Spot,Noodle House,Salad Place,Falafel Restaurant,Latin American Restaurant,Filipino Restaurant
206,"Pasadena, Texas",Mexican Restaurant,Pizza Place,BBQ Joint,American Restaurant,Café,Vietnamese Restaurant,Italian Restaurant,Steakhouse,Food Truck,Fast Food Restaurant,Sandwich Place,Burger Joint,Cajun / Creole Restaurant,Taco Place,Seafood Restaurant,Breakfast Spot,Greek Restaurant,Thai Restaurant,Deli / Bodega,Diner,Gastropub,Ramen Restaurant,Salad Place,Chinese Restaurant,Noodle House
207,"Paterson, New Jersey",Bakery,Pizza Place,New American Restaurant,Italian Restaurant,Seafood Restaurant,Mediterranean Restaurant,American Restaurant,Sushi Restaurant,Café,Sandwich Place,French Restaurant,Chinese Restaurant,Thai Restaurant,Korean Restaurant,Salad Place,Deli / Bodega,Greek Restaurant,Taco Place,Portuguese Restaurant,Falafel Restaurant,Ramen Restaurant,Mexican Restaurant,Diner,Comfort Food Restaurant,Japanese Restaurant
208,"Pearland, Texas",Pizza Place,Mexican Restaurant,Café,American Restaurant,BBQ Joint,Food Truck,Taco Place,Vietnamese Restaurant,Burger Joint,Japanese Restaurant,Italian Restaurant,Fast Food Restaurant,Cajun / Creole Restaurant,Seafood Restaurant,New American Restaurant,Thai Restaurant,Bagel Shop,Sandwich Place,Sushi Restaurant,Steakhouse,Breakfast Spot,Gastropub,Ramen Restaurant,Mediterranean Restaurant,Irish Pub
209,"Pembroke Pines, Florida",Italian Restaurant,American Restaurant,Pizza Place,Mexican Restaurant,Seafood Restaurant,Sandwich Place,Deli / Bodega,Food Truck,Steakhouse,Sushi Restaurant,Café,Fast Food Restaurant,Donut Shop,Bakery,Gastropub,Middle Eastern Restaurant,Argentinian Restaurant,Chinese Restaurant,Vegetarian / Vegan Restaurant,Burger Joint,Japanese Restaurant,New American Restaurant,South American Restaurant,Latin American Restaurant,Mediterranean Restaurant
210,"Peoria, Arizona",Pizza Place,Mexican Restaurant,Italian Restaurant,Burger Joint,American Restaurant,Sandwich Place,Sushi Restaurant,Breakfast Spot,Greek Restaurant,Chinese Restaurant,Seafood Restaurant,Mediterranean Restaurant,Café,Asian Restaurant,Vietnamese Restaurant,Vegetarian / Vegan Restaurant,Donut Shop,Latin American Restaurant,Middle Eastern Restaurant,Cajun / Creole Restaurant,Peruvian Restaurant,Diner,Caribbean Restaurant,New American Restaurant,Deli / Bodega
211,"Peoria, Illinois",Mexican Restaurant,American Restaurant,Pizza Place,Italian Restaurant,Steakhouse,Burger Joint,Breakfast Spot,Sandwich Place,Wings Joint,Seafood Restaurant,Café,Bakery,Asian Restaurant,Fast Food Restaurant,BBQ Joint,Chinese Restaurant,Hot Dog Joint,Tex-Mex Restaurant,South American Restaurant,Middle Eastern Restaurant,Mediterranean Restaurant,Deli / Bodega,Diner,New American Restaurant,Gastropub
212,"Philadelphia, Pennsylvania",Pizza Place,Italian Restaurant,American Restaurant,Café,Breakfast Spot,New American Restaurant,Sandwich Place,Deli / Bodega,Indian Restaurant,Steakhouse,Donut Shop,Sushi Restaurant,Israeli Restaurant,Chinese Restaurant,Seafood Restaurant,Tapas Restaurant,Bakery,Asian Restaurant,French Restaurant,Mediterranean Restaurant,Vegetarian / Vegan Restaurant,Gastropub,Churrascaria,Ramen Restaurant,Greek Restaurant
213,"Phoenix, Arizona",Pizza Place,Burger Joint,American Restaurant,Mexican Restaurant,Italian Restaurant,Mediterranean Restaurant,Café,Breakfast Spot,Sushi Restaurant,Sandwich Place,New American Restaurant,Greek Restaurant,Vegetarian / Vegan Restaurant,Southern / Soul Food Restaurant,Gluten-free Restaurant,Seafood Restaurant,Asian Restaurant,Chinese Restaurant,Taco Place,Steakhouse,Thai Restaurant,BBQ Joint,Fried Chicken Joint,Fast Food Restaurant,Gastropub
214,"Pittsburgh, Pennsylvania",American Restaurant,Pizza Place,Bakery,Sandwich Place,Italian Restaurant,Thai Restaurant,Mexican Restaurant,Seafood Restaurant,Mediterranean Restaurant,New American Restaurant,Diner,Burger Joint,French Restaurant,Breakfast Spot,Deli / Bodega,Steakhouse,Asian Restaurant,German Restaurant,Taco Place,Vegetarian / Vegan Restaurant,Korean Restaurant,Comfort Food Restaurant,Turkish Restaurant,Peruvian Restaurant,Gastropub
215,"Plano, Texas",American Restaurant,BBQ Joint,Pizza Place,Burger Joint,Sushi Restaurant,Steakhouse,Taco Place,Italian Restaurant,Mexican Restaurant,Seafood Restaurant,Southern / Soul Food Restaurant,New American Restaurant,Café,Greek Restaurant,Fast Food Restaurant,Breakfast Spot,Bakery,Japanese Restaurant,Food Court,Chinese Restaurant,Latin American Restaurant,Thai Restaurant,Tex-Mex Restaurant,Asian Restaurant,Brazilian Restaurant
216,"Pomona, California",Pizza Place,Mexican Restaurant,Sandwich Place,Café,Bakery,American Restaurant,Steakhouse,Korean Restaurant,Fast Food Restaurant,Burger Joint,Asian Restaurant,BBQ Joint,Breakfast Spot,Japanese Restaurant,Mediterranean Restaurant,Seafood Restaurant,Sushi Restaurant,Taco Place,Hot Dog Joint,Italian Restaurant,Caribbean Restaurant,Chinese Restaurant,Vegetarian / Vegan Restaurant,Food Court,Dumpling Restaurant
217,"Pompano Beach, Florida",Seafood Restaurant,American Restaurant,Pizza Place,Deli / Bodega,Mexican Restaurant,Sandwich Place,Burger Joint,Steakhouse,Sushi Restaurant,Italian Restaurant,Fast Food Restaurant,New American Restaurant,Gastropub,Japanese Restaurant,Peruvian Restaurant,Cuban Restaurant,Greek Restaurant,Lebanese Restaurant,Chinese Restaurant,Fondue Restaurant,Diner,Mediterranean Restaurant,Café,Middle Eastern Restaurant,Bakery
218,"Port St. Lucie, Florida",American Restaurant,Seafood Restaurant,Pizza Place,Italian Restaurant,Mexican Restaurant,Café,Sandwich Place,BBQ Joint,Bakery,Breakfast Spot,Fast Food Restaurant,Steakhouse,Sushi Restaurant,Donut Shop,Wings Joint,Deli / Bodega,Chinese Restaurant,Caribbean Restaurant,Burger Joint,Bagel Shop,Cuban Restaurant,Cajun / Creole Restaurant,Food,Fried Chicken Joint,Gastropub
219,"Portland, Oregon",Bakery,Sandwich Place,Food Truck,Pizza Place,Breakfast Spot,Thai Restaurant,Sushi Restaurant,French Restaurant,Vegetarian / Vegan Restaurant,American Restaurant,Café,Scandinavian Restaurant,Middle Eastern Restaurant,Donut Shop,Southern / Soul Food Restaurant,Mexican Restaurant,Latin American Restaurant,Wings Joint,Italian Restaurant,Israeli Restaurant,Tapas Restaurant,Vietnamese Restaurant,Indian Restaurant,Gastropub,Korean Restaurant
220,"Providence, Rhode Island",Café,American Restaurant,Bakery,Pizza Place,Italian Restaurant,New American Restaurant,Burger Joint,Breakfast Spot,Asian Restaurant,Sandwich Place,Deli / Bodega,Japanese Restaurant,Sushi Restaurant,Seafood Restaurant,Mexican Restaurant,Donut Shop,Fast Food Restaurant,Hot Dog Joint,Vegetarian / Vegan Restaurant,Middle Eastern Restaurant,Korean Restaurant,Diner,Mediterranean Restaurant,Food,Spanish Restaurant
221,"Provo, Utah",Mexican Restaurant,Burger Joint,Pizza Place,Sandwich Place,Fast Food Restaurant,Café,American Restaurant,Bakery,Snack Place,Hot Dog Joint,Asian Restaurant,BBQ Joint,Thai Restaurant,Sushi Restaurant,Chinese Restaurant,Latin American Restaurant,New American Restaurant,Taco Place,Soup Place,Indian Restaurant,Salad Place,Comfort Food Restaurant,Mediterranean Restaurant,Noodle House,Greek Restaurant
222,"Pueblo, Colorado",Pizza Place,Mexican Restaurant,Café,Italian Restaurant,Fast Food Restaurant,Steakhouse,Sandwich Place,Sushi Restaurant,American Restaurant,Diner,Deli / Bodega,Burger Joint,Bakery,Burrito Place,Noodle House,Asian Restaurant,Japanese Restaurant,Vietnamese Restaurant,Breakfast Spot,Indian Restaurant,Food,Seafood Restaurant,Chinese Restaurant,Wings Joint,Irish Pub
223,"Raleigh, North Carolina",American Restaurant,Mediterranean Restaurant,Southern / Soul Food Restaurant,Mexican Restaurant,Sushi Restaurant,Breakfast Spot,Steakhouse,Bakery,Burger Joint,Sandwich Place,Fast Food Restaurant,Italian Restaurant,Pizza Place,Asian Restaurant,Café,Gastropub,Diner,Donut Shop,Japanese Restaurant,Seafood Restaurant,Peruvian Restaurant,Korean Restaurant,Salad Place,Chinese Restaurant,New American Restaurant
224,"Rancho Cucamonga, California",Mexican Restaurant,American Restaurant,Sandwich Place,Burger Joint,Pizza Place,Gastropub,Mediterranean Restaurant,Café,Bakery,Breakfast Spot,Fast Food Restaurant,BBQ Joint,Thai Restaurant,Steakhouse,Sushi Restaurant,Korean Restaurant,Deli / Bodega,Hot Dog Joint,Italian Restaurant,Japanese Restaurant,Caribbean Restaurant,Peruvian Restaurant,Donut Shop,Greek Restaurant,Bistro
225,"Reno, Nevada",Mexican Restaurant,Pizza Place,Breakfast Spot,American Restaurant,Italian Restaurant,Café,Sandwich Place,Bakery,Burger Joint,Steakhouse,Thai Restaurant,Fast Food Restaurant,BBQ Joint,Chinese Restaurant,Seafood Restaurant,Deli / Bodega,Korean Restaurant,Diner,New American Restaurant,Sushi Restaurant,Fried Chicken Joint,Spanish Restaurant,Greek Restaurant,Mediterranean Restaurant,Japanese Restaurant
226,"Renton, Washington",Vietnamese Restaurant,Pizza Place,Italian Restaurant,Café,Mexican Restaurant,Bakery,Dumpling Restaurant,Burger Joint,Thai Restaurant,Sandwich Place,Steakhouse,Sushi Restaurant,Indian Restaurant,Food Truck,Japanese Restaurant,French Restaurant,BBQ Joint,Fried Chicken Joint,Diner,Seafood Restaurant,Taco Place,New American Restaurant,American Restaurant,Mediterranean Restaurant,Malay Restaurant
227,"Rialto, California",Mexican Restaurant,American Restaurant,Burger Joint,Sandwich Place,Pizza Place,Thai Restaurant,Fast Food Restaurant,Italian Restaurant,Bakery,Café,Steakhouse,Hot Dog Joint,Gastropub,Chinese Restaurant,Breakfast Spot,Sushi Restaurant,Asian Restaurant,Korean Restaurant,Mediterranean Restaurant,Deli / Bodega,Greek Restaurant,Food Truck,Caribbean Restaurant,Donut Shop,Taco Place
228,"Richardson, Texas",American Restaurant,Pizza Place,New American Restaurant,Burger Joint,Taco Place,Sushi Restaurant,Seafood Restaurant,Steakhouse,Mexican Restaurant,BBQ Joint,Greek Restaurant,Italian Restaurant,Tex-Mex Restaurant,Donut Shop,Café,Fast Food Restaurant,Breakfast Spot,Food Court,Chinese Restaurant,Latin American Restaurant,Japanese Restaurant,Fried Chicken Joint,Bakery,Thai Restaurant,Brazilian Restaurant
229,"Richmond, California",Pizza Place,Bakery,Mexican Restaurant,Sushi Restaurant,Café,Italian Restaurant,Food Truck,New American Restaurant,American Restaurant,French Restaurant,Deli / Bodega,Japanese Restaurant,Sandwich Place,Mediterranean Restaurant,Seafood Restaurant,Asian Restaurant,Vietnamese Restaurant,Latin American Restaurant,Salad Place,Donut Shop,Russian Restaurant,Dim Sum Restaurant,Wings Joint,Moroccan Restaurant,Mac & Cheese Joint
230,"Richmond, Virginia",American Restaurant,New American Restaurant,Sandwich Place,Seafood Restaurant,Pizza Place,Italian Restaurant,Bakery,Fast Food Restaurant,Breakfast Spot,Southern / Soul Food Restaurant,Burger Joint,BBQ Joint,Donut Shop,Café,Sushi Restaurant,Diner,Mexican Restaurant,Greek Restaurant,Mediterranean Restaurant,Vietnamese Restaurant,Thai Restaurant,French Restaurant,Gastropub,Vegetarian / Vegan Restaurant,Latin American Restaurant
231,"Riverside, California",Mexican Restaurant,American Restaurant,Pizza Place,Sandwich Place,Burger Joint,Thai Restaurant,Fast Food Restaurant,Bakery,Sushi Restaurant,BBQ Joint,Hot Dog Joint,Gastropub,Mediterranean Restaurant,Taco Place,Italian Restaurant,Steakhouse,Breakfast Spot,Café,Korean Restaurant,Diner,Chinese Restaurant,Caribbean Restaurant,Deli / Bodega,Donut Shop,South American Restaurant
232,"Rochester, Minnesota",Sandwich Place,American Restaurant,Pizza Place,Food,Diner,Fast Food Restaurant,BBQ Joint,Mexican Restaurant,Bakery,New American Restaurant,Greek Restaurant,Asian Restaurant,Italian Restaurant,Breakfast Spot,Sushi Restaurant,Steakhouse,Japanese Restaurant,Burger Joint,Seafood Restaurant,Middle Eastern Restaurant,Café,Mediterranean Restaurant,Chinese Restaurant,Wings Joint,Noodle House
233,"Rochester, New York",Bakery,Italian Restaurant,Pizza Place,American Restaurant,Mexican Restaurant,Deli / Bodega,Burger Joint,Café,Sandwich Place,Breakfast Spot,German Restaurant,Asian Restaurant,Diner,Donut Shop,Steakhouse,Mediterranean Restaurant,Sushi Restaurant,Food Truck,French Restaurant,Bagel Shop,BBQ Joint,New American Restaurant,Vietnamese Restaurant,Hot Dog Joint,Jewish Restaurant
234,"Rockford, Illinois",Pizza Place,Mexican Restaurant,American Restaurant,Italian Restaurant,Café,Breakfast Spot,Sandwich Place,Burger Joint,Fast Food Restaurant,Japanese Restaurant,Asian Restaurant,Bakery,Hot Dog Joint,Gastropub,Chinese Restaurant,Deli / Bodega,Steakhouse,Greek Restaurant,Mediterranean Restaurant,Seafood Restaurant,Diner,Thai Restaurant,Indian Restaurant,BBQ Joint,Sushi Restaurant
235,"Roseville, California",Mexican Restaurant,American Restaurant,Pizza Place,Sushi Restaurant,Sandwich Place,Burger Joint,Café,Chinese Restaurant,Fast Food Restaurant,Thai Restaurant,Breakfast Spot,Bakery,Italian Restaurant,New American Restaurant,Seafood Restaurant,Steakhouse,Donut Shop,Japanese Restaurant,Asian Restaurant,French Restaurant,BBQ Joint,Persian Restaurant,Vegetarian / Vegan Restaurant,Diner,Gastropub
236,"Round Rock, Texas",Pizza Place,Taco Place,Burger Joint,Sandwich Place,American Restaurant,Mexican Restaurant,Seafood Restaurant,BBQ Joint,Bakery,Sushi Restaurant,Italian Restaurant,Vietnamese Restaurant,Fast Food Restaurant,Asian Restaurant,New American Restaurant,Steakhouse,Chinese Restaurant,Donut Shop,Japanese Restaurant,Cajun / Creole Restaurant,Thai Restaurant,Fried Chicken Joint,Café,Salad Place,Falafel Restaurant
237,"Sacramento, California",Mexican Restaurant,American Restaurant,Pizza Place,Bakery,New American Restaurant,Sandwich Place,Burger Joint,Sushi Restaurant,Café,Seafood Restaurant,French Restaurant,Japanese Restaurant,Italian Restaurant,Vietnamese Restaurant,Deli / Bodega,Steakhouse,Breakfast Spot,Food Truck,Asian Restaurant,Donut Shop,Diner,Vegetarian / Vegan Restaurant,Ethiopian Restaurant,German Restaurant,Fast Food Restaurant
238,"Saint Paul, Minnesota",Pizza Place,American Restaurant,Vietnamese Restaurant,Mexican Restaurant,Bakery,New American Restaurant,Italian Restaurant,Burger Joint,Sandwich Place,Southern / Soul Food Restaurant,Breakfast Spot,Sushi Restaurant,Eastern European Restaurant,Deli / Bodega,Scandinavian Restaurant,Middle Eastern Restaurant,Vegetarian / Vegan Restaurant,Asian Restaurant,Japanese Restaurant,BBQ Joint,African Restaurant,German Restaurant,Mediterranean Restaurant,Diner,Gastropub
